2025-11-17 09:13:52 | INFO | __main__ | 
======================================================================
2025-11-17 09:13:52 | INFO | __main__ | 🤖 RSI-MA-ATR ML TRADING BOT v2.0.1 (DEBUGGED)
2025-11-17 09:13:52 | INFO | __main__ | ======================================================================
2025-11-17 09:13:52 | INFO | __main__ | Mode: LIVE
2025-11-17 09:13:52 | INFO | __main__ | Symbols: ['GOLDm#', 'EURUSDm#', 'GBPUSDm#', 'XAUEURm#', 'AUDUSDm#']
2025-11-17 09:13:52 | INFO | __main__ | ML Enabled: False
2025-11-17 09:13:52 | INFO | __main__ | 
✅ FEATURES:
2025-11-17 09:13:52 | INFO | __main__ |   • Enhanced debug logging
2025-11-17 09:13:52 | INFO | __main__ |   • Fixed ML result unpacking
2025-11-17 09:13:52 | INFO | __main__ |   • Detailed signal generation logging
2025-11-17 09:13:52 | INFO | __main__ |   • 24/7 trading hours for testing
2025-11-17 09:13:52 | INFO | __main__ |   • Comprehensive error tracking
2025-11-17 09:13:52 | INFO | __main__ | ======================================================================

2025-11-17 09:13:52 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-17 09:13:52 | INFO | RSIMLTradingBot | [32mRSI-MA-ATR ML TRADING BOT STARTED[0m
2025-11-17 09:13:52 | INFO | RSIMLTradingBot | [32mMode: LIVE[0m
2025-11-17 09:13:52 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-17 09:16:08 | INFO | __main__ | 
======================================================================
2025-11-17 09:16:08 | INFO | __main__ | 🤖 RSI-MA-ATR ML TRADING BOT v2.0.1 (DEBUGGED)
2025-11-17 09:16:08 | INFO | __main__ | ======================================================================
2025-11-17 09:16:08 | INFO | __main__ | Mode: LIVE
2025-11-17 09:16:08 | INFO | __main__ | Symbols: ['GOLDm#', 'EURUSDm#', 'GBPUSDm#', 'XAUEURm#', 'AUDUSDm#']
2025-11-17 09:16:08 | INFO | __main__ | ML Enabled: False
2025-11-17 09:16:08 | INFO | __main__ | 
✅ FEATURES:
2025-11-17 09:16:08 | INFO | __main__ |   • Enhanced debug logging
2025-11-17 09:16:08 | INFO | __main__ |   • Fixed ML result unpacking
2025-11-17 09:16:08 | INFO | __main__ |   • Detailed signal generation logging
2025-11-17 09:16:08 | INFO | __main__ |   • 24/7 trading hours for testing
