2025-11-10 23:42:37 | INFO | __main__ | 
======================================================================
2025-11-10 23:42:37 | INFO | __main__ | 🤖 RSI-MA-ATR ML TRADING BOT v2.0.1 (DEBUGGED)
2025-11-10 23:42:37 | INFO | __main__ | ======================================================================
2025-11-10 23:42:37 | INFO | __main__ | Mode: LIVE
2025-11-10 23:42:37 | INFO | __main__ | Symbols: ['XAUUSD.p', 'BTCUSD.P', 'GBPUSD.p', 'USDJPY.p', 'XAUEUR.p', 'AUDUSD.p']
2025-11-10 23:42:37 | INFO | __main__ | ML Enabled: False
2025-11-10 23:42:37 | INFO | __main__ | 
✅ FEATURES:
2025-11-10 23:42:37 | INFO | __main__ |   • Enhanced debug logging
2025-11-10 23:42:37 | INFO | __main__ |   • Fixed ML result unpacking
2025-11-10 23:42:37 | INFO | __main__ |   • Detailed signal generation logging
2025-11-10 23:42:37 | INFO | __main__ |   • 24/7 trading hours for testing
2025-11-10 23:42:37 | INFO | __main__ |   • Comprehensive error tracking
2025-11-10 23:42:37 | INFO | __main__ | ======================================================================

2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [32mRSI-MA-ATR ML TRADING BOT STARTED[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [32mMode: LIVE[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [32mMT5 initialized successfully[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | Account: 1027223 | Balance: $250.00
2025-11-10 23:42:37 | INFO | RiskManager | [32m[DAILY RESET] Starting balance: $250.00[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | [33mML DISABLED - Using rule-based signals only[0m
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | Rebuilding trailing stops from existing positions...
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | No existing positions to rebuild
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | Symbols: ['XAUUSD.p', 'BTCUSD.P', 'GBPUSD.p', 'USDJPY.p', 'XAUEUR.p', 'AUDUSD.p']
2025-11-10 23:42:37 | INFO | RSIMLTradingBot | Magic Number: 234000
