2025-11-19 08:29:09 | INFO | __main__ | 
======================================================================
2025-11-19 08:29:09 | INFO | __main__ | 🤖 RSI-MA-ATR ML TRADING BOT v2.0.2 (COMPLETE FIX)
2025-11-19 08:29:09 | INFO | __main__ | ======================================================================
2025-11-19 08:29:09 | INFO | __main__ | Mode: LIVE
2025-11-19 08:29:09 | INFO | __main__ | Symbols: ['GOLDm#', 'XAUEURm#']
2025-11-19 08:29:09 | INFO | __main__ | ML Enabled: False
2025-11-19 08:29:09 | INFO | __main__ | 
✅ FIXES:
2025-11-19 08:29:09 | INFO | __main__ |   • Fixed lot size calculation (proper MT5 formula)
2025-11-19 08:29:09 | INFO | __main__ |   • Fixed SL/TP ratios (1:5.0 R:R)
2025-11-19 08:29:09 | INFO | __main__ |   • Complete RiskManager with all methods
2025-11-19 08:29:09 | INFO | __main__ |   • Enhanced trade logging
2025-11-19 08:29:09 | INFO | __main__ |   • Detailed risk:reward verification
2025-11-19 08:29:09 | INFO | __main__ | ======================================================================

2025-11-19 08:29:09 | INFO | RiskManager | [36mRisk Manager Initialized:
2025-11-19 08:29:09 | INFO | RiskManager |   Risk per trade: 2.0%
2025-11-19 08:29:09 | INFO | RiskManager |   Max positions per symbol: 2
2025-11-19 08:29:09 | INFO | RiskManager |   Max total positions: 3
2025-11-19 08:29:09 | INFO | RiskManager |   Force min lot: True[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [32mRSI-MA-ATR ML TRADING BOT STARTED[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [32mMode: LIVE[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [32m======================================================================[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [32mMT5 initialized successfully[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Account: 110109170 | Balance: $56.26
2025-11-19 08:29:09 | INFO | RiskManager | [32m[DAILY RESET] Starting balance: $56.26[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | [33mML DISABLED - Using rule-based signals only[0m
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Rebuilding trailing stops from existing positions...
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | No existing positions to rebuild
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Symbols: ['GOLDm#', 'XAUEURm#']
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Magic Number: 234000
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Risk per trade: 2.0%
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | ML Threshold: 0.60
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Trading Hours: [(7, 24)]
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | SL/TP: 1 ATR / 5 ATR
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Risk:Reward Target: 1:5.0
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | Current Hour: 8:00
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | 🔄 Cycle #1 - 2025-11-19 08:29:09
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-19 08:29:09 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Technical State - RSI: 69.04, EMA_short: 4077.93754, EMA_long: 4073.94778, Price: 4087.99000, ATR: 3.95357
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Trend strength: 1.01 ATR
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   prev_low <= ema_short: 4086.75000 <= 4076.87938 = False
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   close > ema_short: 4087.99000 > 4077.93754 = True
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   RSI in range: 35 < 69.04 < 70 = True
2025-11-19 08:29:09 | DEBUG | RSIMLTradingBot | GOLDm#: No rule-based signal
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | 🔍 Analyzing XAUEURm#...
2025-11-19 08:29:09 | DEBUG | RSIMLTradingBot | --- Processing XAUEURm# ---
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Technical State - RSI: 67.29, EMA_short: 3520.64040, EMA_long: 3517.50655, Price: 3528.66000, ATR: 3.44357
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Trend strength: 0.91 ATR
2025-11-19 08:29:09 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   prev_low <= ema_short: 3527.82000 <= 3519.79624 = False
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   close > ema_short: 3528.66000 > 3520.64040 = True
2025-11-19 08:29:09 | DEBUG | SignalGenerator |   RSI in range: 35 < 67.29 < 70 = True
2025-11-19 08:29:09 | DEBUG | RSIMLTradingBot | XAUEURm#: No rule-based signal
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | 🎯 Managing trailing stops...
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | ✅ Cycle #1 complete. Sleeping 10s...
2025-11-19 08:29:09 | INFO | RSIMLTradingBot | ======================================================================

2025-11-19 08:29:19 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | 🔄 Cycle #2 - 2025-11-19 08:29:19
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-19 08:29:19 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Technical State - RSI: 67.63, EMA_short: 4077.87277, EMA_long: 4073.92111, Price: 4087.31000, ATR: 3.96429
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Trend strength: 1.00 ATR
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   prev_low <= ema_short: 4086.75000 <= 4076.87938 = False
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   close > ema_short: 4087.31000 > 4077.87277 = True
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   RSI in range: 35 < 67.63 < 70 = True
2025-11-19 08:29:19 | DEBUG | RSIMLTradingBot | GOLDm#: No rule-based signal
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | 🔍 Analyzing XAUEURm#...
2025-11-19 08:29:19 | DEBUG | RSIMLTradingBot | --- Processing XAUEURm# ---
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Technical State - RSI: 65.66, EMA_short: 3520.57279, EMA_long: 3517.47870, Price: 3527.95000, ATR: 3.46357
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Trend strength: 0.89 ATR
2025-11-19 08:29:19 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   prev_low <= ema_short: 3527.82000 <= 3519.79624 = False
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   close > ema_short: 3527.95000 > 3520.57279 = True
2025-11-19 08:29:19 | DEBUG | SignalGenerator |   RSI in range: 35 < 65.66 < 70 = True
2025-11-19 08:29:19 | DEBUG | RSIMLTradingBot | XAUEURm#: No rule-based signal
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | 🎯 Managing trailing stops...
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | ✅ Cycle #2 complete. Sleeping 10s...
2025-11-19 08:29:19 | INFO | RSIMLTradingBot | ======================================================================

2025-11-19 08:29:29 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | 🔄 Cycle #3 - 2025-11-19 08:29:29
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-19 08:29:29 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Technical State - RSI: 69.17, EMA_short: 4077.94325, EMA_long: 4073.95013, Price: 4088.05000, ATR: 3.96429
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Trend strength: 1.01 ATR
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   prev_low <= ema_short: 4086.75000 <= 4076.87938 = False
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   close > ema_short: 4088.05000 > 4077.94325 = True
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   RSI in range: 35 < 69.17 < 70 = True
2025-11-19 08:29:29 | DEBUG | RSIMLTradingBot | GOLDm#: No rule-based signal
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | 🔍 Analyzing XAUEURm#...
2025-11-19 08:29:29 | DEBUG | RSIMLTradingBot | --- Processing XAUEURm# ---
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Technical State - RSI: 67.63, EMA_short: 3520.65374, EMA_long: 3517.51204, Price: 3528.80000, ATR: 3.46429
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Trend strength: 0.91 ATR
2025-11-19 08:29:29 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   prev_low <= ema_short: 3527.82000 <= 3519.79624 = False
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   close > ema_short: 3528.80000 > 3520.65374 = True
2025-11-19 08:29:29 | DEBUG | SignalGenerator |   RSI in range: 35 < 67.63 < 70 = True
2025-11-19 08:29:29 | DEBUG | RSIMLTradingBot | XAUEURm#: No rule-based signal
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | 🎯 Managing trailing stops...
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | ✅ Cycle #3 complete. Sleeping 10s...
2025-11-19 08:29:29 | INFO | RSIMLTradingBot | ======================================================================

2025-11-19 08:29:39 | INFO | RSIMLTradingBot | 
======================================================================
2025-11-19 08:29:39 | INFO | RSIMLTradingBot | 🔄 Cycle #4 - 2025-11-19 08:29:39
2025-11-19 08:29:39 | INFO | RSIMLTradingBot | ======================================================================
2025-11-19 08:29:39 | INFO | RSIMLTradingBot | 🔍 Analyzing GOLDm#...
2025-11-19 08:29:39 | DEBUG | RSIMLTradingBot | --- Processing GOLDm# ---
2025-11-19 08:29:39 | DEBUG | SignalGenerator | Technical State - RSI: 69.77, EMA_short: 4077.96992, EMA_long: 4073.96111, Price: 4088.33000, ATR: 3.96429
2025-11-19 08:29:39 | DEBUG | SignalGenerator | Trend strength: 1.01 ATR
2025-11-19 08:29:39 | DEBUG | SignalGenerator | Uptrend detected. Checking buy conditions...
2025-11-19 08:29:39 | DEBUG | SignalGenerator |   prev_low <= ema_short: 4086.75000 <= 4076.87938 = False
