time,open,high,low,close,tick_volume,ema_short,ema_long,rsi,atr,ema_diff,ret_1,ret_5,vol_10,volatility_10,close_minus_ema_short,close_minus_ema_long,rsi_momentum,ema_diff_pct,atr_pct,volume_ratio,price_distance_short,price_distance_long,trend_strength,volatility_regime,label
2025-10-09 21:15:00,3427.35,3432.86,3427.09,3432.29,1139,3431.6373202024374,3448.917100885434,45.326886517568596,7.45928571428567,-17.279780682996716,0.001447190670288645,0.00301873779938977,1055.1,0.0009779166005923676,0.6526797975625414,-16.627100885434174,15.451490238339247,-0.005034475724078303,0.0021732679098461,1.0795185290493794,0.08749896740281177,-2.229047327358803,2.316546294761615,0.7822700514593045,0
2025-10-09 21:20:00,3432.17,3432.22,3427.49,3427.49,960,3431.242337326015,3448.076822419339,41.279632545239764,6.68857142857142,-16.83448509332402,-0.0013984832283986393,0.0030816866454390635,1032.8,0.0011114831166465114,-3.7523373260150947,-20.586822419339114,4.352504606292399,-0.004911607355039408,0.0019514488528256596,0.9295120061967468,-0.561007289237627,-3.077910229290346,2.5169029400527188,0.8917430658480097,0
2025-10-09 21:25:00,3427.38,3429.11,3426.56,3429.04,956,3431.0325909140133,3447.330280363679,43.04806389901046,5.717142857142854,-16.29768944966554,0.0004522259729422551,0.002707776523635852,1037.2,0.0011102105084584877,-1.9925909140133626,-18.290280363678903,3.398748629735266,-0.004752843200914991,0.0016672721394742711,0.9217123023524875,-0.3485291453796488,-3.1991994639118535,2.8506703185322047,0.8934539285416813,0
2025-10-09 21:30:00,3428.95,3429.81,3426.46,3426.77,992,3430.626629874583,3446.523994859221,41.09606948282172,5.258571428571421,-15.897364984637989,-0.0006619928609756798,0.00048465596725355553,1024.0,0.0011412065248305758,-3.8566298745831773,-19.753994859221166,-4.230817034746877,-0.004639168950538842,0.0015345562814462076,0.96875,-0.7333987808226645,-3.7565325730656984,3.023133792243034,0.9215021006180438,0
2025-10-09 21:35:00,3426.84,3428.09,3426.07,3427.43,940,3430.3221889341467,3445.775210747095,41.92068067853941,5.054999999999999,-15.453021812948464,0.00019260119587838354,2.917723125572813e-05,1018.9,0.001069911010851768,-2.892188934146816,-18.34521074709528,0.6410481332996483,-0.004508632360966807,0.0014748660074749883,0.9225635489253117,-0.5721442006225156,-3.6291218095143982,3.056977608891883,0.8679394783505862,-1
2025-10-09 21:40:00,3427.46,3428.46,3423.61,3424.86,837,3429.801980464228,3444.9550064040723,39.59616768743088,4.935714285714279,-15.153025939844156,-0.0007498329652245728,-0.002164735497291903,996.8,0.0010997404836250646,-4.941980464227981,-20.095006404072137,-3.45189621157958,-0.004424422002605699,0.0014411433710324738,0.8396869983948636,-1.0012695585990135,-4.071347173039223,3.0700776144402093,0.8943009234543483,0
2025-10-09 21:45:00,3424.89,3428.43,3424.83,3427.78,783,3429.6094108962066,3444.281476741168,43.43406237676674,4.834285714285703,-14.672065844961253,0.000852589594903197,8.461002074411361e-05,979.4,0.0009745048113760454,-1.8294108962063547,-16.501476741167608,2.337992893945021,-0.004280340583398367,0.0014103255501478225,0.7994690626914438,-0.3784242397589986,-3.413426039839643,3.0350018000806447,0.7987547008821025,-1
2025-10-09 21:50:00,3427.75,3428.84,3426.75,3426.98,672,3429.3589908108534,3443.6029874572005,42.634808600318,4.600714285714275,-14.243996646347114,-0.00023338720688026449,-0.0006007512306651641,939.1,0.0009706035076867906,-2.378990810853338,-16.622987457200452,0.7141279217785907,-0.0041564282973192476,0.0013424981428879874,0.7155787456074966,-0.5170916216728274,-3.6131318801553616,3.0960402584825344,0.8009076009580125,-1
2025-10-09 21:55:00,3426.95,3428.13,3426.1,3427.11,743,3429.14480120982,3442.9562036353495,42.81894703347706,4.443571428571431,-13.81140242552965,3.793427449250153e-05,9.921879787677668e-05,913.1,0.00084726150823615,-2.0348012098197614,-15.846203635349411,3.222779346046181,-0.004030043513493774,0.0012965943400040942,0.8137115321432482,-0.4579202208242508,-3.5660963011556284,3.1081760803313774,0.7059437556748667,-1
2025-10-09 22:00:00,3427.16,3428.44,3424.52,3428.35,871,3429.0691058565035,3442.3834113359244,44.64419626205144,4.285000000000017,-13.31430547942091,0.00036182089282221774,0.00026842269572258104,889.3,0.0008297854943568338,-0.7191058565035746,-14.033411335924484,1.210133885284698,-0.0038835899133463354,0.0012498723875917037,0.979422017316991,-0.16781933640690122,-3.275008479795666,3.1071891433887644,0.6967342990521784,-1
